,0,1,2,3,4,5
258,,152.0,153.0,178.0,287.0,899.0
259,,146.0,154.0,172.0,280.0,953.0
260,,145.0,153.0,179.0,300.0,911.0
261,,153.0,150.0,184.0,284.0,920.0
262,,147.0,146.0,185.0,265.0,874.0
263,,149.0,157.0,178.0,292.0,907.0
264,,145.0,150.0,185.0,293.0,914.0
265,,152.0,153.0,181.0,288.0,882.0
266,,149.0,151.0,184.0,287.0,925.0
267,,150.0,151.0,179.0,287.0,947.0
268,,148.0,149.0,180.0,284.0,917.0
269,,154.0,146.0,174.0,294.0,917.0
270,,148.0,151.0,181.0,284.0,931.0
271,,150.0,157.0,178.0,303.0,873.0
272,,154.0,146.0,167.0,283.0,905.0
273,,150.0,153.0,184.0,279.0,924.0
274,,146.0,154.0,178.0,284.0,884.0
275,,152.0,157.0,177.0,294.0,905.0
276,,152.0,153.0,177.0,274.0,960.0
277,,153.0,150.0,178.0,284.0,919.0
278,,147.0,149.0,187.0,281.0,944.0
279,,141.0,148.0,175.0,281.0,934.0
280,,159.0,147.0,175.0,288.0,963.0
281,,148.0,153.0,180.0,272.0,879.0
282,,150.0,147.0,183.0,278.0,918.0
283,,151.0,148.0,183.0,283.0,926.0
284,,144.0,152.0,185.0,276.0,882.0
285,,150.0,151.0,179.0,284.0,893.0
286,,146.0,145.0,180.0,295.0,951.0
287,,151.0,151.0,181.0,286.0,912.0
288,,153.0,149.0,185.0,290.0,897.0
289,,154.0,150.0,181.0,287.0,915.0
290,,145.0,145.0,182.0,286.0,937.0
291,,152.0,156.0,179.0,272.0,914.0
292,,152.0,146.0,184.0,282.0,932.0
293,,152.0,148.0,181.0,272.0,915.0
294,,153.0,147.0,180.0,273.0,891.0
295,,158.0,158.0,182.0,280.0,909.0
296,,149.0,147.0,179.0,276.0,883.0
297,,152.0,143.0,179.0,285.0,917.0
298,,152.0,147.0,183.0,283.0,912.0
299,,159.0,159.0,178.0,278.0,931.0
300,,154.0,149.0,181.0,277.0,864.0
301,,155.0,149.0,178.0,282.0,944.0
302,,153.0,154.0,177.0,278.0,885.0
303,,160.0,155.0,173.0,278.0,931.0
304,,149.0,155.0,178.0,277.0,906.0
305,,155.0,151.0,179.0,283.0,913.0
306,,153.0,156.0,183.0,275.0,897.0
307,,152.0,153.0,172.0,281.0,888.0
308,,151.0,153.0,172.0,271.0,926.0
309,,150.0,152.0,185.0,267.0,925.0
