,0,1,2,3,4,5,6
3160,,15,15,36,23,100,90
3170,,15,16,35,26,100,86
3180,,16,15,35,23,99,89
3190,,17,14,32,23,100,91
3200,,16,16,36,23,100,88
3210,,15,16,39,23,100,86
3220,,16,15,36,22,100,87
3230,,17,15,39,22,99,87
3240,,17,16,35,26,100,86
3250,,15,16,36,24,100,87
3260,,19,16,38,25,100,88
3270,,18,17,36,22,99,86
3280,,19,17,33,24,100,89
3290,,17,17,35,26,100,90
3300,,17,17,33,22,100,88
3310,,18,14,35,20,100,88
3320,,19,16,36,29,100,88
3330,,18,15,36,22,100,89
3340,,18,15,38,23,100,85
3350,,19,15,36,21,99,86
3360,,17,16,40,24,99,87
3370,,19,15,35,24,100,89
3380,,17,14,36,25,100,91
3390,,16,16,38,25,100,93
3400,,16,16,35,23,100,89
3410,,16,16,36,23,100,90
3420,,13,14,32,19,100,89
3430,,15,14,34,21,100,87
3440,,14,15,39,21,99,90
3450,,15,14,37,24,99,86
3460,,15,15,37,22,100,89
3470,,15,14,37,24,99,90
3480,,16,15,37,25,100,86
3490,,15,17,35,21,100,87
3500,,15,16,35,24,100,89
3510,,13,17,38,22,100,88
3520,,15,14,35,26,100,88
3530,,14,14,37,19,100,86
3540,,14,17,34,22,99,87
3550,,14,16,38,22,100,86
3560,,15,15,30,19,99,88
3570,,16,15,37,23,99,87
3580,,17,14,35,21,99,88
3590,,17,14,33,23,99,89
3600,,17,14,35,22,100,92
3610,,17,14,39,24,100,87
3620,,16,16,33,19,100,87
3630,,17,17,36,24,99,88
3640,,17,16,37,22,100,87
3650,,18,15,31,22,100,88
3660,,17,16,37,21,100,88
3670,,18,16,33,24,98,88
3680,,17,15,34,21,100,88
3690,,16,16,37,20,100,87
3700,,18,16,33,21,100,86
3710,,17,16,38,20,100,89
3720,,16,16,37,23,100,88
3730,,16,15,35,23,100,89
3740,,16,15,35,22,99,89
3750,,16,15,37,21,100,89
3760,,17,15,38,21,99,89
3770,,14,15,35,22,99,89
3780,,15,15,38,22,100,90
3790,,16,17,33,20,100,89
3800,,16,18,34,21,100,90
3810,,18,14,38,21,100,90
3820,,16,16,35,19,100,89
3830,,16,15,34,21,100,90
3840,,15,17,33,20,100,88
3850,,16,17,33,22,99,88
3860,,17,16,32,25,100,90
3870,,16,15,33,23,100,91
3880,,16,16,33,20,99,89
3890,,18,14,33,23,100,87
3900,,17,15,38,18,99,91
3910,,18,14,36,24,100,89
3920,,17,14,33,20,99,89
3930,,17,14,36,19,100,89
3940,,16,14,38,19,100,90
3950,,16,15,35,20,100,91
3960,,17,15,34,18,100,87
3970,,17,15,36,22,99,88
3980,,15,17,32,21,99,88
3990,,16,15,33,20,99,90
4000,,14,16,38,21,100,90
4010,,15,17,35,19,100,88
4020,,15,16,37,24,100,91
4030,,15,16,33,23,99,89
4040,,17,17,38,19,99,88
4050,,15,17,33,20,99,90
4060,,17,15,36,21,99,90
4070,,16,17,38,22,100,89
4080,,16,18,34,21,100,87
4090,,16,16,30,19,100,90
4100,,16,17,31,18,100,92
4110,,16,19,33,23,100,89
4120,,18,19,34,20,99,87
4130,,15,18,37,22,100,88
4140,,17,17,37,20,100,90
4150,,16,18,37,18,100,86
4160,,15,18,39,17,99,88
4170,,18,18,37,22,100,87
4180,,20,17,37,18,100,88
4190,,16,18,31,19,100,88
4200,,17,15,38,19,100,86
4210,,16,16,36,20,100,86
4220,,19,17,36,19,99,88
4230,,16,17,36,19,100,87
4240,,17,16,35,18,99,88
4250,,15,16,38,18,100,89
4260,,15,16,33,19,100,89
4270,,15,16,37,17,100,86
4280,,15,16,35,18,100,84
4290,,15,16,31,20,100,84
4300,,15,16,33,24,100,91
4310,,14,17,34,19,99,88
4320,,16,16,36,22,100,88
4330,,16,15,34,17,100,85
4340,,16,16,36,16,100,83
4350,,16,16,33,20,99,89
4360,,16,15,35,18,99,89
4370,,16,14,39,21,100,89
4380,,16,16,35,19,100,88
4390,,15,15,33,20,100,87
4400,,18,15,35,17,100,83
4410,,17,14,34,19,100,88
4420,,17,15,33,19,100,86
4430,,17,18,34,20,100,86
4440,,16,16,35,23,100,87
4450,,16,13,34,19,100,86
4460,,19,15,35,21,100,88
4470,,17,15,34,18,100,87
4480,,16,16,33,20,100,88
4490,,16,17,32,24,100,88
4500,,17,16,39,20,100,87
4510,,16,15,38,20,100,89
4520,,19,16,34,20,100,90
4530,,17,15,35,20,100,89
4540,,18,16,37,16,100,93
4550,,16,15,36,20,100,87
4560,,16,16,34,18,100,91
4570,,17,15,38,20,100,87
4580,,16,14,32,18,100,89
4590,,18,15,39,18,100,88
4600,,17,14,39,16,100,89
4610,,19,15,35,22,100,89
4620,,19,14,37,19,100,90
4630,,19,15,36,19,99,87
4640,,18,15,35,21,100,88
4650,,16,14,37,18,100,88
4660,,18,15,40,18,100,90
4670,,17,16,37,15,100,87
4680,,18,16,36,18,100,89
4690,,16,14,36,19,100,91
4700,,15,17,34,19,100,90
4710,,16,13,35,17,100,88
4720,,15,15,32,19,100,90
4730,,15,15,37,19,,85
4740,,17,14,34,19,,88
4750,,15,14,38,18,,89
4760,,16,14,38,18,,89
4770,,14,14,34,17,,90
4780,,16,15,35,17,,89
4790,,17,15,36,21,,86
4800,,16,15,37,19,,89
4810,,16,14,38,17,,88
4820,,15,14,39,18,,90
4830,,17,15,34,19,,89
4840,,16,14,32,19,,88
4850,,17,16,33,18,,90
4860,,18,15,35,16,,90
4870,,17,16,37,20,,89
4880,,16,15,32,21,,89
4890,,17,16,37,18,,91
4900,,16,14,35,18,,89
4910,,16,16,34,19,,91
4920,,17,16,36,21,,92
4930,,16,16,35,19,,91
4940,,15,16,36,18,,90
4950,,18,17,37,19,,90
4960,,16,16,34,17,,90
4970,,17,16,38,16,,89
4980,,15,16,35,16,,90
4990,,17,15,39,20,,89
5000,,17,16,36,21,,
