,0,1,2,3,4,5
58,70918426.35,43788056,41745460,30116498,62738588,64452648
59,69639924.34,43190032,41401832,30236760,62067236,63863212
60,70325112.18,41861240,39858084,28332386,59560316,61974016
61,67399596.59,40780032,40741716,27724952,61214056,60182624
62,66643762.09,39388456,40063320,27275136,60158956,58083252
63,65726197.32,40543412,40282788,27288238,60139100,59610612
64,69004165.71,41877424,42689992,28524026,64035144,61985568
65,65538556.75,41475564,40946344,28141094,61419124,61487108
66,65531971.02,40011212,38453360,27088922,57697928,59374272
67,68925229.65,40873732,41905920,27992616,63379016,60516000
68,65629275.74,42623156,41293124,29539570,61776320,63251580
69,67885980.17,42066764,40749924,28170452,61449340,62495420
70,65601512.39,42302972,41016500,29043454,61380340,62744088
71,61608017.67,42549520,39697028,28997716,60302864,63564780
72,66522370.05,41844604,41843132,28639160,62948060,62669512
73,71979777.95,42717552,40208560,29791206,60970236,63909480
74,69712499.69,41610036,39975420,27817806,60837732,62382204
75,67430742.64,42049084,42123496,28882880,64129140,62616788
76,67467804.91,41150924,40835456,28783796,62461108,61670028
77,64722939.71,41540972,38374876,28425116,57905664,62273880
78,68708766.06,42205564,42702016,28209532,64440280,63440424
79,68667712.19,40136016,40182960,26638752,61491988,60044132
80,70367528.61,44114692,40175196,29933838,60976340,66688928
81,74281262.32,41160452,40093188,27597704,61160452,61600128
82,67024716.77,41945676,39934996,27895834,61077000,63494124
83,67276566.34,40626844,40206844,27486604,61549624,61102744
84,72443754.54,40780756,37425520,28296790,56955464,61381384
85,68091258.4,41455172,40579348,28141188,61990276,62818616
86,68313651.17,43512280,39883376,29719154,60972248,66175988
87,69591752.33,41621332,39711312,29029556,60829124,62779316
88,68007926.6,41713888,39938088,28463368,61150668,63139968
89,66571195.08,42381428,40331772,29209330,62453772,64216668
90,63416737.81,41009496,39916092,28728340,61338516,62420804
91,72872489.24,41602244,38246016,28604804,59308160,63159724
92,65925047.87,43155344,38183152,29188676,59198712,65852712
93,68832015.67,42123460,37760512,29432620,58048852,64153036
94,71052558.36,40322972,38803660,27577118,60154424,61530640
95,67205286.75,40242876,38339712,27431126,59386744,61082616
96,67243871.25,42620420,38006944,29373916,58363668,64708724
97,69681935.3,38437512,38376452,25694040,59771740,58521280
98,65854540.34,41481176,39073092,29209052,60123440,63456192
99,72748501.17,39006716,41115660,26548598,63908056,59462252
100,67799418.18,39702596,39490996,27529082,60979224,60534068
101,71255400.1,40059356,38718128,27650012,59937368,61550388
102,66809656.89,40027088,37993416,27803760,58888676,61330456
103,68163355.81,40741100,38948344,28446994,60311580,62395936
104,66363928.43,40174316,38098184,27530540,59302268,61749348
105,68273552.34,41533128,37492208,28633606,58333864,64396248
106,71011294.74,42745944,38786728,30088660,60452196,66039492
107,65535450.15,42718964,37582832,29931818,58980292,66276972
108,67480922.18,37982200,40952436,25304174,64347076,58429880
109,68230266.48,40202432,37727480,28630832,59323656,61803988
110,65510918.11,43213108,39336720,30737352,61542784,66762088
111,69868564.57,39476988,39074956,27435914,60740812,61211492
112,64654269.7,40398464,38968004,28025638,61621036,62605548
113,71110501.09,40388680,38682120,27542294,60696148,62612316
114,68611450.49,41194716,38303536,28006336,60151592,64037672
115,69466178.29,40508348,39390772,28634860,61656008,62795468
116,68077423.26,40912300,38368316,27679306,59979936,63835888
117,76090204.72,41061736,38402480,28726978,60145960,63745040
118,65810644.34,40658692,39081512,28438140,61624304,63255256
119,66407553.94,39301444,37330696,27165824,59389628,60923540
120,67877421.42,38368492,39557584,26720010,62696068,59836016
121,65052285.99,39895488,38998616,27466748,60644760,62284444
122,67644432.06,38900776,39269092,26962628,61604144,60505900
123,63808693.08,38970852,40192476,26921104,63512496,61110344
124,63434385.12,37856132,35910164,26139750,56738152,59337084
125,65078526.75,39407032,38992424,26818516,61540572,61812944
126,62355528.13,38406208,37251996,26779220,58552024,59615444
