,group,0,1
197,6,-6.787556648,-9.312652588
200,7,26.1361084,31.03680229
205,1,-10.26235199,32.79761887
206,1,-10.49541283,19.67292023
207,1,-24.43718719,29.7931366
208,7,32.65612411,28.00291634
210,8,-10.81541729,-1.578570247
211,1,-4.584896564,27.63275909
212,0,9.872146606,38.64749146
216,2,37.26293945,-13.03273869
217,2,18.58965111,-3.233610868
218,8,-8.944644928,0.700999796
221,1,-23.70723534,30.11124802
224,3,47.38672638,9.090481758
226,0,3.980231285,49.63698578
227,5,-27.58465004,-11.04370689
228,4,2.038531303,-24.48740387
229,1,-15.11552048,34.54776001
230,2,21.59512138,-4.608649731
232,6,-20.44261551,-22.70064926
233,9,23.00713158,-30.50213623
234,2,25.22476196,-23.82513237
235,5,-23.64253807,-11.68468189
236,2,23.6149025,-6.003367424
237,3,28.73466682,1.832146049
238,1,-19.40785789,33.62376404
239,4,-1.584789395,-34.19236755
240,4,-8.293692589,-32.58008575
241,4,-7.942147255,-41.01438904
242,3,23.21960449,1.620133519
243,1,-13.87937927,42.10766983
244,4,9.456175804,-20.40211296
245,1,-9.038748741,25.6714592
246,7,23.79995155,22.618433
247,0,3.881340027,29.07993126
248,5,-31.98578644,-5.100910187
249,3,38.23363876,16.22766685
251,7,20.06853104,10.29622555
252,6,-8.759436607,-11.48891926
253,9,5.758699417,-28.34848022
254,3,11.57510853,4.993576527
255,4,-6.84746027,-43.9325943
256,2,38.67232513,-6.002218246
257,6,-19.08044243,-14.38448715
258,1,-28.67793083,37.32263565
260,7,21.85453415,29.18899536
261,7,20.33342934,32.24449539
262,2,19.30797577,-0.164760605
263,0,3.738978386,35.1133728
264,7,23.69069672,31.52432823
266,7,25.4295578,19.66172791
267,5,-26.41714859,-13.6204834
268,9,11.82368946,-29.8085804
269,9,11.90347481,-32.9963913
271,0,-2.432322025,41.37791443
272,8,-12.16570282,1.923071027
273,9,20.7973423,-31.41607285
275,2,25.31791306,-6.395262241
276,3,48.30222321,4.944930553
277,5,-44.51480484,-16.996315
278,6,-4.429377079,-9.651673317
281,1,1.188057303,6.778111458
282,7,16.3024559,32.10964584
284,8,-33.28591919,7.319815636
286,1,-21.79969215,27.18162155
287,7,36.11804199,21.16109276
288,2,19.90189552,-5.519342422
289,4,-4.337012768,-36.57484818
290,9,-1.101409197,-11.44929504
292,1,-26.98398781,28.15621567
293,4,-1.975007534,-46.53475952
297,9,18.02715302,-22.15563011
298,3,46.16839981,2.880388498
299,5,-42.54598236,-6.48902607
302,3,7.21502161,5.529968739
303,4,-5.02200079,-24.86097908
305,7,7.932640076,23.18860054
306,7,19.29590607,32.55786896
307,0,-3.532503843,10.55350876
308,7,14.84899044,8.719099045
309,1,-32.76029968,33.69543076
310,2,19.80815697,1.73568809
312,7,23.36095428,20.16365051
313,2,13.3449192,-13.76664734
314,1,-15.93021393,13.78427505
316,6,-18.16389084,-18.54935837
317,2,15.94724941,8.314702034
318,6,-24.04723167,-16.29241753
319,7,3.37602973,1.173391223
320,0,1.597161412,23.36825562
321,4,5.365159035,-21.45765114
322,7,20.66586685,13.77030277
323,6,-28.65657234,-20.82840919
325,2,23.43142319,-6.817411423
326,0,-1.186360121,9.883378029
327,0,5.853201389,17.55034447
329,2,28.78024864,-17.23734093
330,5,-43.85125732,-3.91123271
332,7,22.61653519,17.02003479
333,8,-11.88642597,5.282548428
334,8,-26.67024612,8.060355186
335,0,-2.715771198,38.17170715
336,7,10.24165726,19.58343506
337,5,-4.684038162,7.880972862
338,5,-34.23229218,-15.69342327
339,2,20.78520775,-17.01029396
342,6,-28.92655563,-23.04701614
343,3,46.00979233,1.80521512
345,9,11.80323982,-23.08646011
346,6,-23.34160233,-15.44094467
347,0,-0.602274954,39.65731812
