,0,1,2,3,4,5
170,14.0,14.0,14.0,36.0,44.0,100.0
171,13.0,15.0,16.0,36.0,52.0,99.0
172,14.0,16.0,15.0,37.0,44.0,100.0
173,13.0,16.0,15.0,38.0,44.0,99.0
174,13.0,15.0,13.0,38.0,48.0,100.0
175,13.0,16.0,14.0,36.0,54.0,100.0
176,14.0,14.0,15.0,39.0,41.0,100.0
177,15.0,15.0,15.0,37.0,49.0,99.0
178,15.0,16.0,14.0,38.0,46.0,100.0
179,13.0,16.0,14.0,39.0,49.0,98.0
180,14.0,16.0,16.0,36.0,49.0,100.0
181,13.0,14.0,16.0,34.0,44.0,100.0
182,13.0,15.0,16.0,35.0,46.0,98.0
183,14.0,15.0,18.0,37.0,45.0,100.0
184,13.0,14.0,15.0,33.0,41.0,100.0
185,13.0,14.0,15.0,36.0,43.0,100.0
186,14.0,14.0,16.0,38.0,38.0,100.0
187,13.0,16.0,15.0,38.0,42.0,100.0
188,13.0,16.0,16.0,36.0,40.0,100.0
189,14.0,15.0,17.0,35.0,39.0,100.0
190,14.0,17.0,16.0,34.0,43.0,100.0
191,14.0,15.0,16.0,36.0,42.0,100.0
192,13.0,16.0,16.0,36.0,48.0,100.0
193,14.0,14.0,15.0,34.0,35.0,99.0
194,13.0,15.0,15.0,38.0,43.0,100.0
195,14.0,17.0,18.0,33.0,43.0,100.0
196,13.0,16.0,13.0,40.0,44.0,100.0
197,14.0,16.0,14.0,38.0,46.0,100.0
198,13.0,17.0,16.0,31.0,42.0,99.0
199,13.0,15.0,16.0,36.0,38.0,100.0
200,15.0,16.0,16.0,42.0,39.0,100.0
201,14.0,17.0,13.0,34.0,42.0,100.0
202,,15.0,16.0,37.0,39.0,100.0
203,,15.0,13.0,38.0,37.0,100.0
204,,16.0,14.0,37.0,39.0,100.0
205,,14.0,14.0,35.0,41.0,99.0
206,,14.0,15.0,32.0,46.0,100.0
207,,14.0,17.0,35.0,39.0,100.0
208,,16.0,14.0,38.0,38.0,100.0
209,,17.0,14.0,32.0,42.0,99.0
210,,16.0,16.0,34.0,39.0,99.0
211,,15.0,13.0,38.0,36.0,100.0
212,,16.0,14.0,36.0,37.0,100.0
213,,17.0,16.0,33.0,43.0,100.0
214,,16.0,15.0,40.0,36.0,100.0
215,,15.0,16.0,38.0,38.0,100.0
216,,16.0,15.0,36.0,35.0,100.0
217,,16.0,16.0,33.0,37.0,100.0
218,,16.0,15.0,39.0,36.0,100.0
219,,15.0,15.0,35.0,36.0,100.0
220,,15.0,17.0,35.0,36.0,100.0
221,,16.0,17.0,34.0,38.0,100.0
222,,15.0,15.0,35.0,37.0,99.0
223,,15.0,16.0,36.0,36.0,100.0
224,,16.0,16.0,35.0,35.0,100.0
225,,13.0,16.0,36.0,29.0,100.0
226,,14.0,17.0,34.0,34.0,100.0
227,,14.0,15.0,36.0,35.0,99.0
228,,16.0,14.0,32.0,29.0,100.0
229,,14.0,14.0,36.0,34.0,100.0
230,,14.0,15.0,36.0,35.0,100.0
231,,15.0,15.0,33.0,31.0,100.0
232,,15.0,16.0,35.0,33.0,99.0
233,,15.0,17.0,35.0,35.0,99.0
234,,15.0,16.0,34.0,32.0,100.0
235,,16.0,16.0,37.0,33.0,100.0
236,,15.0,15.0,37.0,28.0,99.0
237,,13.0,16.0,40.0,37.0,100.0
238,,14.0,15.0,37.0,33.0,100.0
239,,16.0,17.0,36.0,40.0,100.0
240,,15.0,16.0,33.0,32.0,100.0
241,,15.0,15.0,39.0,30.0,99.0
